"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1",1652.02392627304,-0.464054802906222,0.858828456716863,-0.540334684158248,0.588966243046431,0.680647339329765
"g2",469.254311394124,0.306738625165091,0.330949942818341,0.926842961666442,0.354008075356915,0.474428717152927
"g3",10235.9588102841,0.164985511540638,0.439860541460129,0.375085955637131,0.707596541601869,0.772662890254914
"g4",72.2235156626024,-0.0566956167796215,0.7123653525493,-0.0795878359001154,0.936565070071033,0.950930679708979
"g5",1258.62135144745,0.07373913658307,0.424003449571857,0.173911643071605,0.861934902222133,0.906743922385751
"g6",207.360818803885,-2.02190078716796,0.569352906017963,-3.5512259018911,0.00038344115184351,0.00232512187820001
"g7",293.343162791891,0.436739142258218,0.438318893414784,0.996395886236484,0.319057831004958,0.445973649273466
"g8",3378.29589186608,-0.650542544480972,0.552110447313138,-1.17828334465841,0.238683665430382,0.368643284877507
"g9",50.4667944469612,0.846819612477108,0.719624931160205,1.17675135450329,0.239294763867855,0.368643284877507
"g10",214.012427489964,-1.37582978811949,0.654432269843288,-2.10232571271119,0.0355247536802156,0.0823134536492799
"g11",54.8442210698476,1.33914447892969,0.705546666299078,1.89802396197849,0.0576929255645929,0.122705102879918
"g12",16.6028139741964,0.363126079656342,1.24635984032812,0.291349310132412,0.770784178279006,0.832096556096654
"g13",81.3777117817341,-4.30511907931481,0.963115661448093,-4.46999176904864,7.82226074432379e-06,0.00010615925295868
"g14",61.4003355254264,1.20401789895439,0.554337513708647,2.17199426194203,0.029856095726957,0.072726387027203
"g15",1220.82729421918,-0.714996958219752,0.291336199799929,-2.45419882153596,0.0141198888537072,0.0394526306206525
"g16",1349.75523265154,0.537365513217397,0.33587636695885,1.59989081126161,0.10962280812706,0.195265626976326
"g17",810.688326516784,1.13645756025085,0.388074151503834,2.928454667354,0.00340651503460586,0.0121357098107834
"g18",748.997483745157,-0.819484992736742,0.537735966424133,-1.52395421527446,0.127520148790529,0.222964677333134
"g19",252.778648019913,-0.503635404453241,0.455228599621915,-1.10633515748248,0.26858147991916,0.402872219878739
"g20",1393.45355587541,0.518186206513992,0.48988336370943,1.05777465597168,0.290158189859621,0.420382437513589
"g21",1344.29742415261,1.08102965156314,0.306409653559287,3.52805350290299,0.00041862753301992,0.00243487442674852
"g22",938.866418985355,-2.12068834190241,0.250818191864439,-8.45508185087543,2.78891645617936e-17,3.97420595005558e-15
"g23",2595.27069025684,-0.699711765525096,0.40263583616467,-1.73782784014021,0.0822411535552064,0.159552997677357
"g24",731.796134553595,0.881338735111727,0.343155449475054,2.56833670122379,0.0102187846151573,0.0316560175578241
"g25",4010.40240294811,1.07604373283191,0.273192144175695,3.93877992384688,8.18970069718704e-05,0.000686489617264208
"g26",16150.8501017002,1.12902567539206,0.393675919623431,2.8679063643822,0.00413197800963466,0.0145384411450108
"g27",90.3797734720452,-0.947121859272616,0.487953249328734,-1.94100943189855,0.0522571333422737,0.112827901534455
"g28",427.944066748203,-0.360600458651381,0.336308903094071,-1.07222989142965,0.283616787576713,0.418812354711726
"g29",3067.35915225866,0.456522255627698,0.627496153297994,0.72752996688236,0.466901364727993,0.591408395322125
"g30",636.435279156343,2.04059434613123,0.721306467906113,2.82902543776558,0.0046689987695772,0.015942926402597
"g31",5710.34177679179,0.991001030349836,0.958800251136011,1.0335844501247,NA,NA
"g32",2428.76029512713,-1.63145529954134,0.662704355402708,-2.46181466326707,0.0138236079349386,0.0390072105094802
"g33",361.367289865377,-0.550712248562012,0.373733390264798,-1.47354307350441,0.140604658289427,0.239954057559801
"g34",1442.92362704799,-0.521271101683027,0.49474117687445,-1.05362384626277,0.292055167114704,0.420382437513589
"g35",1169.49841483272,-0.249992698495872,0.267323494020264,-0.935169201689853,0.349701107784568,0.474428717152927
"g36",866.021852979531,0.475805966673986,0.788778869370175,0.603218449619356,0.546363375680509,0.651521180204791
"g37",1360.99762970676,0.650183801826731,0.327409818901544,1.98584087675834,0.0470509953147082,0.104761981755405
"g38",167.252707705173,-1.16961018427944,0.644053163260791,-1.8160149673946,0.0693680761932677,0.140212068901286
"g39",575.236925024436,-2.86397516283346,0.412430238795894,-6.94414447203228,3.80760689520983e-12,1.80861327522467e-10
"g40",890.771144779808,-0.043857801487466,0.471372908067268,-0.0930426860281226,0.925869649736215,0.946091009095006
"g41",5856.95703150244,1.49890867143254,0.710606219458105,2.10933795735081,0.0349154206539135,0.0815647121833225
"g42",264.946718986385,0.326763935997539,0.616395166615042,0.530120860278602,0.596028136758973,0.68220087942292
"g43",1180.97069070716,-0.270458823590047,0.367484396034188,-0.735973626387352,0.461746748198096,0.587490282305613
"g44",2070.70338162397,-0.581463911377622,0.58469557358124,-0.994472914881459,0.319992685290253,0.445973649273466
"g45",314.960543787063,0.317728738308846,0.271791764602511,1.16901532602917,0.242397456600889,0.371415457694911
"g46",3006.99575434249,-1.94425529542626,0.461121399893286,-4.21636318738668,2.48273794996016e-05,0.000272146275284094
"g47",7793.61294101339,-1.32253514516641,0.661638758253956,-1.99887798087363,0.045621557708157,0.10237908619547
